"№","Region (RU)","Region (BA)","Region (ENG)","Region (Com. Turk. BA)","District (RU)","District (BA)","District (ENG)","District (Com. Turk. BA)","Name (RU)","Name (BA)","Name (ENG)","Name (Com. Turk. BA)","Clan (RU)","Clan (BA)","Clan (ENG)","Clan (Com. Turk. BA)","Dialect (RU)","Dialect (BA)","Dialect (ENG)","Dialect (Com. Turk. BA)","Sub-dialect & Variety (RU)","Sub-dialect & Variety (BA)","Sub-dialect & Variety (ENG)","Sub-dialect & Variety (Com. Turk. BA)","Map Link","latitude","longitude","Status"
"435","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Хайбуллинский район","Хәйбулла районы","Khaybullinsky district","Xäybulla rayonı","Большеарслангулово","Оло Арыҫланғол","Bolshearslangulovo","Olo Arıślanğol","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.81045/57.54260","51.81045","57.5426",""
"436","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Хайбуллинский район","Хәйбулла районы","Khaybullinsky district","Xäybulla rayonı","Малоарслангулово","Бәләкәй Арыҫланғол","Maloarslangulovo","Bäläkäy Arıślanğol","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.79282/57.49536","51.79282","57.49536",""
"437","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Хайбуллинский район","Хәйбулла районы","Khaybullinsky district","Xäybulla rayonı","Большеабишево","Оло Әбеш","Bolsheabishevo","Olo Äbeş","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.77413/57.49871","51.77413","57.49871",""
"438","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Хайбуллинский район","Хәйбулла районы","Khaybullinsky district","Xäybulla rayonı","Малоабишево","Бәләкәй Әбеш","Maloabishevo","Bäläkäy Äbeş","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=15/51.74040/57.48360","51.7404","57.4836","Abandoned"
"439","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Искужино","Исҡужа","Iskuzhino","İsquža","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.35577/57.76501","52.35577","57.76501",""
"440","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Кашкарово","Ҡашҡар","Kashkarovo","Qaşqar","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/52.34142/57.76557","52.34142","57.76557",""
"441","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Ижбулды","Ишбулды","Izhbuldy","İşbuldı","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.30061/57.75903","52.30061","57.75903",""
"442","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Максютово","Мәҡсүт","Maksyutovo","Mäqsüt","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.27027/57.77746","52.27027","57.77746",""
"443","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Новоякупово","Яңы Яҡуп","Novoyakupovo","Yañı Yaqup","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.22852/57.75531","52.22852","57.75531",""
"444","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Юмагужино","Йомағужа","Yumaguzhino","Yomağuža","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/52.21321/57.76306","52.21321","57.76306",""
"445","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Юлдыбаево","Юлдыбай","Yuldybayevo","Yuldıbay","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/52.34122/57.87471","52.34122","57.87471",""
"446","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Малоюлдыбаево","Бәләкәй Юлдыбай","Maloyuldybayevo","Bäläkäy Yuldıbay","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.33252/57.84123","52.33252","57.84123",""
"447","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Ямансаз","Яманһаҙ","Yamansaz","Yamanhaź","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/52.30241/58.01094","52.30241","58.01094",""
"448","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Султантимирово","Һултантимер","Sultantimirovo","Hultantimer","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.30345/58.14104","52.30345","58.14104",""
"449","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Япарсаз","Япарһаҙ","Yaparsaz","Yaparhaź","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.24967/57.93771","52.24967","57.93771",""
"450","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Матраево","Матрай","Matrayevo","Matray","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/52.24990/58.02485","52.2499","58.02485",""
"451","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Балапан","Балапан","Balapan","Balapan","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.23285/58.03205","52.23285","58.03205",""
"452","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Верхнесалимово","Үрге Сәлим","Verkhnesalimovo","Ürge Sälim","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.21140/58.02826","52.2114","58.02826",""
"453","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Староякупово","Иҫке Яҡуп","Staroyakupovo","İśke Yaqup","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.23186/57.84742","52.23186","57.84742",""
"454","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Камыш-Узяк","Ҡамышүҙәк","Kamysh-Uzyak","Qamışüzäk","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.20515/57.90466","52.20515","57.90466",""
"455","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Суртан-Узяк","Суртанүҙәк","Surtan-Uzyak","Surtanüzäk","Тангаур","Тәңгәүер","Tangaur","Täñgäwer","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Верхнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Үрге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Upper Sakmar variety)","Eyek-Haqmar höyläşe (Ürge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.23144/58.09916","52.23144","58.09916",""
"456","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Саляхово","Сәләх","Salyakhovo","Säläx","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.19571/57.69929","52.19571","57.69929",""
"457","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Канзафарово","Ҡәнзәфәр","Kanzafarovo","Qänzäfär","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.17547/57.75798","52.17547","57.75798",""
"458","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Аралбаево","Аралбай","Aralbayevo","Aralbay","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.16278/57.88621","52.16278","57.88621",""
"459","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Нижнегалеево","Түбәнге Ғәле","Nizhnegaleyevo","Tübänge Ğäle","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.14014/57.83497","52.14014","57.83497",""
"460","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Верхнегалеево","Үрге Ғәле","Verkhnegaleyevo","Ürge Ğäle","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.13903/57.85951","52.13903","57.85951",""
"461","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Байгужино","Байғужа","Bayguzhino","Bayğuža","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.07640/57.87562","52.0764","57.87562",""
"462","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Сабырово","Һабыр","Sabyrovo","Habır","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=13/52.06050/57.75900","52.0605","57.759",""
"463","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Ашкадарово","Ашҡаҙар","Ashkadarovo","Aşqaźar","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.01373/57.67967","52.01373","57.67967",""
"464","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зилаирский район","Йылайыр районы","Zilairsky district","Yılayır rayonı","Кадырша","Ҡаҙырша","Kadyrsha","Qaźırşa","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.99076/57.63001","51.99076","57.63001",""
"465","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Кужанак","Ҡужанаҡ","Kuzhanak","Qužanaq","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.59878/57.17508","51.59878","57.17508",""
"466","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Нижнее Мамбетшино","Түбәнге Мәмбәтша","Nizhneyye Mambetshino","Tübänge Mämbätşa","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.62171/57.19205","51.62171","57.19205",""
"467","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Яныбаево","Яңыбай","Yanybayevo","Yañıbay","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.68854/57.26610","51.68854","57.2661",""
"468","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Верхнее Мамбетшино","Үрге Мәмбәтша","Verkhneyye Mambetshino","Ürge Mämbätşa","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.72034/57.29587","51.72034","57.29587",""
"469","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Идельбаково","Иҙелбәк","Idelbakovo","İźelbäk","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.76064/57.13461","51.76064","57.13461",""
"470","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Юнаево","Юнай","Yunayevo","Yunay","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.72853/57.06798","51.72853","57.06798",""
"471","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Утягулово (Усерган-Кыпчак)","Үтәғол","Utyagulovo","Ütäğol","Усерган-Кыпчак","Үҫәргән-Ҡыпсаҡ","Usergan-Kypchak","Üśärgän-Qıpsaq","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.69993/57.04466","51.69993","57.04466",""
"472","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Идяш","Иҙәш","Idyash","İźäş","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.73927/57.00067","51.73927","57.00067",""
